,Subject,RT,condition,Error,sens_comp,resp_comp
39208,21,644.81,anHCLU,1,comp,incomp
39209,21,633.71,anHCLU,1,comp,incomp
39210,21,347.61,anHCLU,1,comp,incomp
39211,21,647.7,anHCLU,1,comp,incomp
39212,21,439.42,anHCLU,1,comp,incomp
39213,21,510.67,anHCLU,1,comp,incomp
39214,21,712.92,anHCLU,1,comp,incomp
39215,21,743.46,anHCLU,1,comp,incomp
39216,21,674.02,anHCLU,1,comp,incomp
39217,21,645.1600000000002,anHCLU,1,comp,incomp
39218,21,605.53,anHCLU,1,comp,incomp
39219,21,580.12,anHCLU,1,comp,incomp
39220,21,533.63,anHCLU,1,comp,incomp
39221,21,582.3699999999999,anHCLU,1,comp,incomp
39222,21,751.51,anHCLU,1,comp,incomp
39223,21,440.07,anHCLU,1,comp,incomp
39224,21,798.8100000000002,anHCLU,1,comp,incomp
39225,21,1765.9,anHCLU,1,comp,incomp
39226,21,559.4100000000002,anHCLU,1,comp,incomp
39227,21,665.0699999999998,anHCLU,1,comp,incomp
39228,21,595.5699999999998,anHCLU,1,comp,incomp
39229,21,669.4100000000002,anHCLU,1,comp,incomp
39230,21,593.6100000000001,anHCLU,1,comp,incomp
39231,21,418.63999999999993,anHCLU,1,comp,incomp
39232,21,564.84,anHCLU,1,comp,incomp
39233,21,705.96,anHCLU,1,comp,incomp
39234,21,983.3,anHCLU,1,comp,incomp
39235,21,579.77,anHCLU,1,comp,incomp
39236,21,468.2,anHCLU,1,comp,incomp
39237,21,440.83,anHCLU,1,comp,incomp
39238,21,599.4300000000002,anHCLU,1,comp,incomp
39239,21,699.71,anHCLU,1,comp,incomp
39240,21,710.54,anHCLU,1,comp,incomp
39241,21,557.76,anHCLU,1,comp,incomp
39242,21,706.53,anHCLU,1,comp,incomp
39243,21,787.23,anHCLU,1,comp,incomp
39244,21,1034.2,anHCLU,1,comp,incomp
39245,21,552.06,anHCLU,1,comp,incomp
39246,21,1031.6,anHCLU,1,comp,incomp
39247,21,498.79,anHCLU,1,comp,incomp
39248,21,840.1700000000002,anHCLU,1,comp,incomp
39249,21,622.17,anHCLU,1,comp,incomp
39250,21,790.73,anHCLU,1,comp,incomp
39251,21,868.7299999999998,anHCLU,0,comp,incomp
39252,21,668.62,anHCLU,1,comp,incomp
39253,21,607.21,anHCLU,1,comp,incomp
39254,21,490.38999999999993,anHCLU,1,comp,incomp
39255,21,454.29,anHCLU,1,comp,incomp
39256,21,389.68,anHCLU,1,comp,incomp
39257,21,607.0600000000002,anHCLU,1,comp,incomp
39258,21,510.0,anHCLU,1,comp,incomp
39259,21,1167.2,anHCLU,1,comp,incomp
39260,21,793.1,anHCLU,1,comp,incomp
39261,21,702.9100000000002,anHCLU,1,comp,incomp
39262,21,749.77,anHCLU,1,comp,incomp
39263,21,1130.9,anHCLU,1,comp,incomp
39264,21,569.46,anHCLU,1,comp,incomp
39265,21,464.29,anHCLU,1,comp,incomp
39266,21,679.03,anHCLU,1,comp,incomp
39267,21,617.54,anHULU,1,comp,comp
39268,21,437.8,anHULU,1,comp,comp
39269,21,602.51,anHULU,1,comp,comp
39270,21,467.59,anHULU,1,comp,comp
39271,21,609.49,anHULU,1,comp,comp
39272,21,515.3399999999998,anHULU,1,comp,comp
39273,21,429.15,anHULU,1,comp,comp
39274,21,510.8,anHULU,1,comp,comp
39275,21,440.05,anHULU,1,comp,comp
39276,21,449.68,anHULU,1,comp,comp
39277,21,454.24,anHULU,1,comp,comp
39278,21,365.03,anHULU,1,comp,comp
39279,21,385.8,anHULU,1,comp,comp
39280,21,456.66,anHULU,1,comp,comp
39281,21,367.11,anHULU,1,comp,comp
39282,21,411.57,anHULU,1,comp,comp
39283,21,351.81,anHULU,1,comp,comp
39284,21,439.35,anHULU,1,comp,comp
39285,21,465.37,anHULU,1,comp,comp
39286,21,518.4,anHULU,1,comp,comp
39287,21,434.24,anHULU,1,comp,comp
39288,21,575.2,anHULU,1,comp,comp
39289,21,524.0600000000002,anHULU,1,comp,comp
39290,21,458.57,anHULU,1,comp,comp
39291,21,420.14,anHULU,1,comp,comp
39292,21,626.24,anHULU,1,comp,comp
39293,21,546.5,anHULU,1,comp,comp
39294,21,543.8,anHULU,1,comp,comp
39295,21,480.99,anHULU,1,comp,comp
39296,21,632.02,anHULU,1,comp,comp
39297,21,459.93,anHULU,1,comp,comp
39298,21,442.2,anHULU,1,comp,comp
39299,21,612.3100000000002,anHULU,1,comp,comp
39300,21,1307.7,anHULU,1,comp,comp
39301,21,459.5100000000001,anHULU,1,comp,comp
39302,21,698.23,anHULU,1,comp,comp
39303,21,435.75,anHULU,1,comp,comp
39304,21,447.55,anHULU,1,comp,comp
39305,21,493.05,anHULU,1,comp,comp
39306,21,772.36,anHULU,1,comp,comp
39307,21,496.55,anHULU,1,comp,comp
39308,21,409.91,anHULU,1,comp,comp
39309,21,439.58,anHULU,1,comp,comp
39310,21,497.00000000000006,anHULU,1,comp,comp
39311,21,490.8,anHULU,1,comp,comp
39312,21,346.23,anHULU,1,comp,comp
39313,21,342.8900000000001,anHULU,1,comp,comp
39314,21,459.72,anHULU,1,comp,comp
39315,21,341.27,anHULU,1,comp,comp
39316,21,414.5100000000001,anHULU,1,comp,comp
39317,21,467.38,anHULU,1,comp,comp
39318,21,329.0800000000001,anHULU,1,comp,comp
39319,21,560.3600000000001,anHULU,1,comp,comp
39320,21,568.73,anHULU,1,comp,comp
39321,21,489.61000000000007,anHULU,1,comp,comp
39322,21,600.68,anHULU,1,comp,comp
39323,21,598.37,anHULU,1,comp,comp
39324,21,410.63,anHULU,1,comp,comp
39325,21,1152.4,anHULU,1,comp,comp
39326,21,529.9399999999998,anHULU,1,comp,comp
39327,21,399.39,anHULU,1,comp,comp
39328,21,546.03,anHULU,1,comp,comp
39329,21,519.93,anHULU,1,comp,comp
